event_id,match_id,minute,event_type,team_id,player_id
164,28,84,Goal,8,199
165,28,84,Assist,8,189
166,28,90,Goal,8,191
167,28,90,Assist,8,199
168,28,90,Goal,8,192
169,28,90,Assist,8,199
170,28,90,Goal,6,156
171,29,22,Yellow Card,11,262
172,29,23,Goal,9,217
173,29,36,Goal,9,217
174,29,36,Assist,9,215
175,29,38,Yellow Card,11,280
176,29,45,Goal,9,215
177,29,45,Assist,9,228
178,29,65,Yellow Card,11,277
179,29,72,Yellow Card,9,224
180,30,2,Goal,10,245
181,30,2,Assist,10,244
182,31,11,Own Goal,15,385
183,31,16,Yellow Card,15,369
184,31,32,Yellow Card,15,367
185,31,43,Goal,13,328
186,31,43,Assist,13,314
187,31,43,VAR Review,13,328
188,31,56,Yellow Card,13,317
189,31,84,Yellow Card,15,368
190,31,88,Yellow Card,13,332
191,31,88,Yellow Card,15,383
192,31,88,Yellow Card,13,315
193,32,2,Goal,14,361
194,32,2,Assist,14,357
195,32,45,Red Card,14,348
196,32,45,VAR Review,14,348
197,33,30,Goal,19,476
198,33,30,Assist,19,479
199,33,68,Goal,17,442
200,33,68,Assist,17,436
201,33,90,Goal,17,442
202,33,90,Assist,17,439
203,34,90,Yellow Card,18,461
204,35,5,Goal,21,539
205,35,5,Assist,21,531
206,35,17,Goal,21,539
207,35,17,Assist,21,542
208,35,47,Goal,21,531
209,35,47,Assist,21,542
210,35,54,Goal,21,531
211,35,54,Assist,21,544
212,35,59,Goal,23,583
213,35,59,Assist,23,581
214,35,89,Goal,21,544
215,35,89,Assist,21,530
216,36,4,Goal,22,561
217,36,4,Assist,22,559
218,36,31,Goal,22,564
219,36,31,Assist,22,559
220,36,69,Goal,22,560
221,36,69,Assist,22,564
222,36,83,Goal,22,564
223,36,83,Assist,22,570
224,37,1,Yellow Card,25,633
225,37,66,Red Card,25,649
226,38,15,Goal,28,718
227,38,15,Assist,28,704
228,38,58,Goal,26,661
229,38,58,Assist,26,653
230,38,67,Goal,26,660
231,38,67,Assist,26,661
232,38,82,Goal,26,657
233,38,82,Assist,26,660
234,39,10,Goal,29,747
235,39,10,Assist,29,749
236,39,21,Goal,29,749
237,39,21,Assist,29,742
238,39,24,Goal,29,749
239,39,24,Assist,29,738
240,39,49,Own Goal,31,785
241,40,21,Goal,30,760
242,40,44,Goal,32,826
243,40,44,Assist,32,814
244,40,45,Goal,32,820
245,40,45,Assist,32,826
246,40,61,Goal,30,780
247,41,14,Goal,33,842
248,41,14,Assist,33,843
249,41,54,Goal,33,842
250,41,54,Assist,33,839
251,41,66,Goal,33,839
252,41,66,Assist,33,843
253,42,43,Goal,36,926
254,42,48,Goal,36,919
255,42,48,Assist,36,920
256,42,53,Goal,34,876
257,42,53,Assist,34,868
258,42,58,Goal,36,919
259,42,58,Assist,36,916
260,42,90,Goal,34,876
261,42,90,Assist,34,869
262,43,38,Goal,37,946
263,43,38,Assist,37,961
264,43,90,Goal,37,946
265,44,36,Goal,40,1035
266,44,36,Assist,40,1024
267,44,69,Goal,38,974
268,44,69,Assist,38,969
269,44,82,Goal,38,971
270,45,6,Goal,41,1047
271,45,6,Assist,41,1060
272,45,17,Goal,41,1065
273,45,39,Goal,41,1047
274,45,39,Assist,41,1048
275,45,60,Own Goal,43,1094
276,45,87,Goal,41,1057
277,45,87,Assist,41,1063
278,46,76,Goal,44,1120
279,46,76,Assist,44,1138
280,48,54,Goal,46,1181
281,48,54,Assist,46,1172
282,49,55,Goal,1,20
283,49,55,Assist,1,7
284,49,61,Goal,1,16
285,49,61,Assist,1,2
286,49,90,Goal,1,8
287,49,90,Assist,1,25
288,50,63,Goal,2,38
289,50,63,Assist,2,34
290,51,46,Goal,8,199
291,51,46,Assist,8,191
292,51,57,Goal,8,191
293,51,57,Assist,8,189
294,51,76,Goal,5,128
295,51,76,Assist,5,129
296,52,29,Goal,6,149
297,52,29,Assist,6,143
298,52,34,Own Goal,7,157
299,52,42,Goal,7,166
300,52,42,Assist,7,164
301,52,82,Goal,6,156
302,52,82,Assist,6,133
303,53,7,Goal,9,215
304,53,7,Assist,9,234
305,53,45,Goal,9,215
306,53,45,Assist,9,216
307,53,60,Goal,9,217
308,53,60,Assist,9,216
309,54,10,Own Goal,10,235
310,54,39,Goal,10,236
311,54,43,Goal,11,278
312,54,45,Goal,10,245
313,54,78,Goal,10,243
314,54,89,Goal,10,250
315,55,3,Goal,13,318
316,55,3,Assist,13,326
317,55,10,Goal,16,398
318,55,10,Assist,16,416
319,55,31,Goal,16,396
320,55,31,Assist,16,403
321,55,49,Goal,13,326
322,55,90,Goal,16,412
323,56,46,Yellow Card,15,386
324,56,77,Yellow Card,14,346
325,57,2,Goal,17,435
326,57,2,Assist,17,433
327,57,9,Goal,20,514
328,57,9,Assist,20,509
329,57,77,Goal,20,513
330,57,77,Assist,20,517
331,58,7,Goal,19,487
332,58,64,Goal,19,487
333,59,3,Own Goal,24,615
334,59,7,Goal,21,539
335,59,54,Goal,24,607
336,59,62,Goal,21,526
337,60,56,Goal,22,557
338,60,62,Goal,23,583
339,61,28,Goal,25,634
340,61,50,Goal,25,634
341,61,66,Goal,25,631
342,61,84,Goal,28,713
343,61,86,Goal,25,633
344,61,90,Goal,25,646
345,62,5,Goal,26,671
346,62,14,Goal,27,699
347,63,42,Goal,29,743
348,63,42,Assist,29,733
349,64,4,Yellow Card,31,792
350,64,8,Yellow Card,30,778
351,64,67,Yellow Card,31,786
352,64,90,Yellow Card,31,789
353,65,7,Goal,33,839
354,65,7,Assist,33,842
355,65,10,Yellow Card,36,916
356,65,20,Goal,33,839
357,65,20,Assist,33,842
358,65,21,Goal,36,929
359,65,21,Assist,36,931
360,65,32,Goal,33,839
361,65,32,Assist,33,840
362,65,74,Yellow Card,33,840
363,65,90,Goal,33,852
364,65,90,Assist,33,844
365,66,4,Goal,34,879
366,66,4,Assist,34,862
367,66,13,Red Card,35,886
368,66,18,Yellow Card,34,862
369,66,56,Goal,34,876
370,66,56,Assist,34,866
371,66,59,Goal,34,884
372,66,59,Assist,34,876
373,66,71,Goal,34,884
374,66,71,Assist,34,871
375,66,75,Yellow Card,35,900
376,66,81,Yellow Card,34,884
377,66,82,Goal,34,871
378,66,82,Assist,34,884
379,66,90,Yellow Card,35,907
380,67,19,Goal,37,947
381,67,31,Goal,37,958
382,67,55,Goal,40,1024
383,67,55,Assist,40,1037
384,67,80,Goal,37,946
385,68,28,Goal,39,995
386,68,28,Assist,39,996
387,68,45,Goal,38,979
388,68,45,Assist,38,969
389,68,55,Goal,39,997
390,68,55,Assist,39,994
391,68,60,Goal,38,969
392,68,60,Assist,38,970
393,68,90,Goal,38,969
394,68,90,Assist,38,970
395,68,90,Goal,39,1002
396,68,90,Assist,39,999
397,70,10,Goal,43,1106
398,70,10,Assist,43,1098
399,70,68,Goal,42,1086
400,70,78,Goal,42,1085
401,70,90,Goal,42,1086
402,70,90,Assist,42,1079
403,71,62,Goal,45,1154
404,71,62,Assist,45,1151
405,71,67,Goal,45,1153
406,71,67,Assist,45,1154
407,72,31,Goal,46,1187
408,72,73,Goal,47,1219
409,72,73,Assist,47,1220
410,72,83,Goal,46,1183
411,72,83,Assist,46,1180
412,73,90,Goal,5,111
413,74,29,Goal,22,570
414,74,56,Goal,9,213
415,74,56,Assist,9,211
416,74,90,Goal,9,230
417,74,90,Assist,9,216
418,75,42,Goal,14,357
419,75,42,Assist,14,361
420,75,54,Goal,17,423
421,75,54,Assist,17,433
422,75,121,Penalty Shootout Miss,17,423
423,75,121,Penalty Shootout Goal,14,349
424,75,121,Penalty Shootout Goal,17,422
425,75,121,Penalty Shootout Goal,14,353
426,75,121,Penalty Shootout Goal,17,426
427,75,121,Penalty Shootout Goal,14,361
428,75,121,Penalty Shootout Miss,17,427
429,75,121,Penalty Shootout Miss,14,347
430,75,121,Penalty Shootout Goal,17,436
431,75,121,Penalty Shootout Miss,14,343
432,75,121,Penalty Shootout Miss,17,420
433,75,121,Penalty Shootout Goal,14,351
434,76,72,Goal,21,531
435,76,72,Assist,21,544
436,76,90,Goal,10,248
437,76,90,Assist,10,241
438,76,121,Penalty Shootout Goal,21,540
439,76,121,Penalty Shootout Miss,10,258
440,76,121,Penalty Shootout Miss,21,527
441,76,121,Penalty Shootout Goal,10,243
442,76,121,Penalty Shootout Goal,21,529
443,76,121,Penalty Shootout Goal,10,241
444,76,121,Penalty Shootout Miss,21,546
445,76,121,Penalty Shootout Miss,10,236
446,76,121,Penalty Shootout Miss,21,544
447,76,121,Penalty Shootout Goal,10,245
448,77,39,Goal,36,930
449,77,74,Goal,19,483
450,77,86,Goal,36,919
451,77,86,Assist,36,916
452,78,45,Goal,33,842
453,78,53,Goal,33,844
454,78,53,Assist,33,843
455,78,74,Goal,33,842
456,78,74,Assist,33,843
457,79,22,Goal,1,16
458,79,22,Assist,1,25
459,79,31,Goal,1,9
460,79,31,Assist,1,16
461,79,95,Red Card,20,497
462,80,7,Goal,42,1075
463,80,75,Goal,45,1153
464,80,75,Assist,45,1162
465,80,86,Goal,45,1153
466,80,86,Assist,45,1162
467,81,25,Goal,34,879
468,81,51,Goal,34,876
469,81,51,Assist,34,877
470,81,86,Goal,25,633
471,81,86,Assist,25,639
472,81,89,Goal,25,632
473,81,89,Assist,25,634
474,81,120,Goal,25,632
475,81,120,VAR Review,34,866
476,82,45,Goal,13,332
477,82,45,Assist,13,329
478,82,64,Red Card,13,332
479,82,64,VAR Review,13,332
480,82,82,Goal,13,329
481,83,36,Goal,29,749
482,83,36,Assist,29,752
483,83,66,Goal,29,740
484,83,66,Assist,29,743
485,83,89,Goal,29,749
486,83,89,Assist,29,752
487,84,53,Goal,46,1184
488,84,53,Assist,46,1172
489,84,68,Goal,41,1047
490,84,90,Goal,41,1049
491,84,90,Assist,41,1057
492,84,103,VAR Review,46,1174
493,85,10,Goal,8,189
494,85,10,Assist,8,191
495,85,46,Goal,8,193
496,86,13,Goal,26,658
497,86,55,Own Goal,26,653
498,86,121,Penalty Shootout Miss,15,383
499,86,121,Penalty Shootout Goal,26,671
500,86,121,Penalty Shootout Goal,15,386
501,86,121,Penalty Shootout Goal,26,655
502,86,121,Penalty Shootout Goal,15,375
503,86,121,Penalty Shootout Goal,26,660
504,86,121,Penalty Shootout Miss,15,389
505,86,121,Penalty Shootout Goal,26,654
506,87,29,Goal,37,946
507,87,59,Goal,30,768
508,87,92,Goal,37,942
509,87,103,Goal,30,767
510,87,111,Own Goal,30,757
511,88,14,Goal,44,1129
512,88,14,Assist,44,1143
513,89,70,Goal,33,842
514,90,50,Goal,10,242
515,90,50,Assist,10,236
516,90,82,Goal,10,242
517,90,82,Assist,10,244
518,90,90,Goal,10,243
519,90,90,Assist,10,244
520,91,3,VAR Review,36,916
521,91,14,VAR Review,9,217
522,91,79,Goal,36,919
523,91,79,Assist,36,931
524,91,90,Goal,9,218
525,91,90,Goal,36,919
526,92,36,Goal,45,1154
527,92,36,Assist,45,1151
528,92,38,Goal,45,1154
529,92,38,Assist,45,1153
530,92,42,Goal,1,16
531,92,54,Red Card,45,1170
532,92,54,VAR Review,45,1170
533,92,60,Goal,45,1153
534,92,69,Goal,1,9
535,92,69,VAR Review,45,1153
536,93,90,Goal,29,734
537,93,90,Assist,29,735
538,94,9,Goal,25,641
539,94,9,Assist,25,647
540,94,31,Goal,13,329
541,94,33,Goal,25,641
542,94,33,Assist,25,634
543,94,57,Goal,25,644
544,94,90,Goal,25,633
545,95,15,Goal,26,652
546,95,15,Assist,26,660
547,95,26,Goal,37,949
548,95,26,Assist,37,946
549,95,40,Goal,37,946
550,95,55,Goal,37,945
551,95,55,Assist,37,956
552,95,67,Goal,26,661
553,95,67,Assist,26,662
554,97,60,Goal,33,842
555,97,60,Assist,33,839
556,97,66,Goal,33,844
557,97,66,Assist,33,842
558,98,30,Goal,29,738
559,98,41,Goal,25,641
560,98,41,Assist,25,625
561,98,88,Goal,29,747
562,99,36,Goal,36,931
563,99,36,Assist,36,920
564,99,45,Goal,45,1154
565,99,45,Assist,45,1162
566,99,93,Goal,45,1154
567,100,10,Goal,37,956
568,100,10,Assist,37,946
569,100,67,Goal,8,193
570,100,67,Assist,8,195
571,100,112,Goal,37,945
572,100,112,Assist,37,957
573,100,120,Goal,37,958
574,101,22,Goal,29,749
575,101,58,Goal,29,740
576,101,58,Assist,29,738
577,102,55,Goal,45,1162
578,102,55,Assist,45,1161
579,102,85,Goal,37,960
580,102,85,Assist,37,946
581,102,90,Goal,37,958
582,102,90,Assist,37,946
583,103,3,Goal,45,1148
584,103,18,Goal,45,1146
585,103,18,Assist,45,1148
586,103,37,Goal,45,1151
587,103,37,Assist,45,1155
588,103,45,Goal,45,1151
589,103,45,Assist,45,1165
590,103,48,Goal,33,842
591,103,48,Assist,33,843
592,103,54,Goal,33,844
593,103,54,Assist,33,842
594,103,66,Goal,33,842
595,103,66,Assist,33,843
596,103,87,Goal,45,1151
597,103,90,Goal,33,839
598,103,90,Assist,33,836
599,103,90,Goal,45,1154
600,104,106,Goal,29,735
601,104,106,Assist,29,745
