Squad,GP,GA,Shots,SOG,Saves,SavePct,CS,PKatt,PKG,advanced,stage,saves_per_90,cs_rate,pressure_index,save_efficiency_ratio,GES
Turkey,3,5,33,13,8,61.5,0,0,0,0,Group Exit,2.6666666666666665,0.0,4.333333333333333,14.192307692307693,38.98417559979581
Germany,4,5,31,11,6,54.5,0,0,0,0,Group Exit,1.5,0.0,2.75,19.818181818181817,23.01823750522066
South Korea,3,3,30,12,6,50.0,0,0,0,0,Group Exit,2.0,0.0,4.0,12.5,24.11805652234443
Tunisia,3,12,42,19,6,31.6,0,0,0,0,Group Exit,2.0,0.0,6.333333333333333,4.989473684210527,10.0292356953919
Uzbekistan,3,11,50,19,6,31.6,0,1,1,0,Group Exit,2.0,0.0,6.333333333333333,4.989473684210527,10.0292356953919
Sweden,4,10,50,25,14,56.0,0,0,0,0,Group Exit,3.5,0.0,6.25,8.96,42.3486008631491
Qatar,3,10,73,25,7,28.0,0,1,1,0,Group Exit,2.3333333333333335,0.0,8.333333333333334,3.36,10.303030303030306
New Zealand,3,10,69,21,11,52.4,0,0,0,0,Group Exit,3.6666666666666665,0.0,7.0,7.485714285714286,41.107243955635994
Indonesia,3,7,35,16,8,50.0,0,0,0,0,Group Exit,2.6666666666666665,0.0,5.333333333333333,9.375,30.178662582950487
Hungary,3,9,42,18,8,44.4,0,0,0,0,Group Exit,2.6666666666666665,0.0,6.0,7.3999999999999995,25.890760592138847
Iraq,3,12,61,23,12,52.2,0,0,0,0,Group Exit,4.0,0.0,7.666666666666667,6.808695652173913,43.98440762912432
Panama,3,4,31,14,9,64.3,0,0,0,0,Group Exit,3.0,0.0,4.666666666666667,13.778571428571427,44.15842962550467
Peru,3,8,41,17,8,47.1,0,0,0,0,Group Exit,2.6666666666666665,0.0,5.666666666666667,8.311764705882354,27.958141909137314
Poland,3,9,37,14,7,50.0,0,0,0,0,Group Exit,2.3333333333333335,0.0,4.666666666666667,10.714285714285714,27.14835955264746
Serbia,3,8,36,15,7,46.7,0,0,0,0,Group Exit,2.3333333333333335,0.0,5.0,9.34,24.621560165204887
Slovakia,3,9,44,17,8,47.1,0,0,0,0,Group Exit,2.6666666666666665,0.0,5.666666666666667,8.311764705882354,27.958141909137314
